Player,ESPN,CBS,Mean,Count
Ted Ginn,214,150,182,2
Titans,182,,182,1
Benjamin Watson,197,168,182.5,2
Panthers,183,,183,1
Matt Bryant,184,,184,1
Wil Lutz,185,,185,1
Chris Boswell,186,,186,1
Vikings,172,200,186,2
Quincy Enunwa,230,142,186,2
Robbie Gould,187,,187,1
Austin Ekeler,199,177,188,2
Jake Elliott,188,,188,1
Matt Prater,189,,189,1
Brandon Marshall,225,154,189.5,2
Tyrell Williams,218,162,190,2
Harrison Butker,190,,190,1
Adaminatieri,191,,191,1
Eli Manning,243,140,191.5,2
Graham Gano,192,,192,1
Frank Gore,202,182,192,2
Samaje Perine,,193,193,1
Albert Wilson,213,174,193.5,2
Spencer Ware,200,188,194,2
Javorius Allen,206,184,195,2
Chris Ivory,195,,195,1
Eric Ebron,211,180,195.5,2
Vance McDonald,196,,196,1
Jameis Winston,244,149,196.5,2
John Kelly,208,189,198.5,2
Jared Cook,198,199,198.5,2
T.J. Yeldon,207,192,199.5,2
Ricky Seals-Jones,247,152,199.5,2
Tyrod Taylor,212,187,199.5,2
Chase Edmonds,201,,201,1
Taywan Taylor,233,171,202,2
Derek Carr,245,161,203,2
Geronimo Allison,272,135,203.5,2
Elijah McGuire,204,,204,1
O.J. Howard,210,198,204,2
Jonathan Stewart,205,,205,1
Keke Coutee,234,179,206.5,2
C.J. Prosise,209,,209,1
Kalen Ballage,264,157,210.5,2
Terrance Williams,215,,215,1
Willie Snead,216,,216,1
James Conner,242,190,216,2
Dede Westbrook,263,170,216.5,2
Andy Dalton,219,,219,1
Ryan Tannehill,220,,220,1
Redskins,221,,221,1
Cardinals,222,,222,1
Dan Bailey,223,,223,1
Ryan Succop,224,,224,1
Courtland Sutton,226,,226,1
Deon Cain,227,,227,1
Hayden Hurst,259,197,228,2
Dante Pettis,284,172,228,2
Travis Benjamin,228,,228,1
Adam Humphries,229,,229,1
Ryan Grant,231,,231,1
Jermaine Kearse,232,,232,1
Trent Taylor,271,196,233.5,2
Corey Grant,235,,235,1
Alfred Blue,236,,236,1
Mark Walton,237,,237,1
Jeremy Hill,281,195,238,2
Tavon Austin,238,,238,1
Charles Sims,239,,239,1
Wayne Gallman,240,,240,1
Joe Williams,241,,241,1
Austin Hooper,246,,246,1
Antonio Gates,248,,248,1
Mike Gesicki,249,,249,1
De'Angelo Henderson,250,,250,1
D.J. Chark,251,,251,1
Curtis Samuel,252,,252,1
Falcons,253,,253,1
Cowboys,254,,254,1
Daniel Carlson,255,,255,1
Mason Crosby,256,,256,1
Ryan Griffin,257,,257,1
Gerald Everett,258,,258,1
Brandon LaFell,260,,260,1
Kendall Wright,261,,261,1
Taylor Gabriel,262,,262,1
Terrance West,265,,265,1
Case Keenum,266,,266,1
Blake Bortles,267,,267,1
Joe Flacco,268,,268,1
Sam Bradford,269,,269,1
Josh McCown,270,,270,1
Cole Beasley,273,,273,1
J.J. Nelson,274,,274,1
DaeSean Hamilton,275,,275,1
Boston Scott,276,,276,1
Jaylen Samuels,277,,277,1
Damien Williams,278,,278,1
T.J. Logan,279,,279,1
Mike Gillislee,280,,280,1
Rod Smith,282,,282,1
Justin Jackson,283,,283,1
Packers,285,,285,1
Bears,286,,286,1
Josh Lambo,287,,287,1
Dustin Hopkins,288,,288,1
Jake Butt,289,,289,1
Virgil Green,290,,290,1
Vernon Davis,291,,291,1
Tyler Kroft,292,,292,1
Rico Gathers,293,,293,1
Amara Darboh,294,,294,1
Corey Coleman,295,,295,1
AJ McCarron,296,,296,1
Bengals,297,,297,1
Lions,298,,298,1
Chiefs,299,,299,1
Seahawks,300,,300,1
